ID,effect,median,lower,upper,p_lt_0,p_gt_0,p_in_rope
AQ,NR: 350ms - 50ms,-10.12435035411135,-11.46655950904578,-8.810527429257228,1,0,0
HC,NR: 350ms - 50ms,-3.414766039388354,-4.676853354032245,-2.1889206835779125,1,0,0.25425
YILIU,NR: 350ms - 50ms,-2.2087917424345633,-3.7441348432534864,-0.6458908077428747,0.99675,0.00325,0.840375
AQ,NR: duration_effect_late_minus_early,-16.483597016600452,-20.178394277756023,-12.64329204933376,1,0,0
HC,NR: duration_effect_late_minus_early,15.6391977521194,12.089921003249414,19.08587834198266,0,1,0
YILIU,NR: duration_effect_late_minus_early,11.090071076108913,6.660954701140604,15.476431974258206,0,1,3.75e-4
AQ,NR: linear_trend,-41.94305240342585,-47.18382626682062,-37.00331034158155,1,0,0
HC,NR: linear_trend,-41.27428439626698,-45.807355803355165,-36.5637280859174,1,0,0
YILIU,NR: linear_trend,-21.129446733756275,-27.370960691282296,-14.854886930790638,1,0,0
AQ,R: 350ms - 50ms,-4.200995161323007,-5.428935532101611,-3.0263891707595776,1,0,0.02275
HC,R: 350ms - 50ms,-8.409374372662954,-9.524638198394944,-7.291066085050773,1,0,0
YILIU,R: 350ms - 50ms,-3.5565588613434347,-4.653854523435182,-2.4712158697982782,1,0,0.16275
AQ,R: duration_effect_late_minus_early,4.06670085583904,0.7368146331115905,7.401668387114652,0.0075,0.9925,0.26575
HC,R: duration_effect_late_minus_early,10.94239328468461,7.82743204254213,13.9637092455115,0,1,0
YILIU,R: duration_effect_late_minus_early,-0.7685001923266208,-3.775623276477001,2.2424071912773935,0.691125,0.308875,0.922375
AQ,R: linear_trend,-35.63398060290458,-40.09032314545036,-31.278351833203928,1,0,0
HC,R: linear_trend,-35.51017110458251,-39.684143844242755,-31.280653706507938,1,0,0
YILIU,R: linear_trend,-29.844168829124143,-33.96308235174413,-25.779424662085514,1,0,0
AQ,catchup_average,5.925916731360047,4.16411624216144,7.698129299671522,0,1,6.25e-4
HC,catchup_average,-4.968050825278754,-6.668464321769663,-3.2965878638303856,1,0,0.0105
YILIU,catchup_average,-1.3467015564326763,-3.17277133121148,0.5449120494916172,0.922,0.078,0.95875
AQ,catchup_early,-4.349484620367285,-7.645069837152892,-1.0742140814177925,0.9955,0.0045,0.212125
HC,catchup_early,-2.672969936395136,-5.710894342941733,0.3948049325431939,0.954625,0.045375,0.586375
YILIU,catchup_early,4.55790809271385,1.0525229416540092,8.082262302657362,0.008,0.992,0.19125
AQ,catchup_late,16.198136691244358,13.341932324283569,18.99934373310393,0,1,0
HC,catchup_late,-7.2969352462653845,-10.073322180238756,-4.5981854838455885,1,0,0.00125
YILIU,catchup_late,-7.297986352150119,-10.140867873764451,-4.346880613109028,1,0,0.002
AQ,catchup_late_minus_early,20.56112368749708,15.505268613575588,25.455235836047184,0,1,0
HC,catchup_late_minus_early,-4.644717916122575,-9.392128972595993,-0.019180277254341134,0.975375,0.024625,0.24325
YILIU,catchup_late_minus_early,-11.830505477866087,-17.12751548031716,-6.381941978577767,1,0,0.001
AQ,gain_100ms,20.71588265351197,19.379904394938144,22.051033011439568,0,1,0
HC,gain_100ms,18.82062904885416,17.581421090518127,20.035029642516072,0,1,0
YILIU,gain_100ms,35.82282835691939,34.248835344405855,37.477282014128626,0,1,0
AQ,gain_150ms,33.688519891353835,32.319645814490364,35.071885612969034,0,1,0
HC,gain_150ms,25.303315183260217,24.20150359291057,26.425572955104055,0,1,0
YILIU,gain_150ms,39.16305026959385,37.90499240775707,40.32610031370599,0,1,0
AQ,gain_200ms,32.73198933548029,31.414727912454083,34.053021379357986,0,1,0
HC,gain_200ms,18.23888581054451,17.136077971337652,19.410788293323094,0,1,0
YILIU,gain_200ms,42.84190581831201,41.45887767601039,44.22269628557851,0,1,0
AQ,gain_250ms,37.98554532782437,36.58793140708551,39.34647991142747,0,1,0
HC,gain_250ms,22.17821647120755,21.041984666251377,23.262995402038797,0,1,0
YILIU,gain_250ms,39.22408522699416,37.93521755285225,40.46520592786903,0,1,0
AQ,gain_300ms,24.2897233220988,23.034507332945928,25.53295627420207,0,1,0
HC,gain_300ms,10.02505107673188,8.826410267865919,11.18598257225802,0,1,0
YILIU,gain_300ms,38.12701013984077,36.70167337382364,39.58426806211461,0,1,0
AQ,gain_350ms,24.911374205506625,23.726907240798507,26.108504532262824,0,1,0
HC,gain_350ms,21.779729706385012,20.557277071336355,22.978904224936233,0,1,0
YILIU,gain_350ms,35.09362797813941,33.711716950221174,36.43577440002882,0,1,0
AQ,gain_50ms,30.84602745661945,29.5334545777265,32.197727488287775,0,1,0
HC,gain_50ms,16.798408941936856,15.59946853195664,17.987929022617266,0,1,0
YILIU,gain_50ms,33.72651120177437,32.43316951153442,35.040761723912695,0,1,0
AQ,gain_at_50ms,30.84602745661945,29.5334545777265,32.197727488287775,0,1,0
HC,gain_at_50ms,16.798408941936856,15.59946853195664,17.987929022617266,0,1,0
YILIU,gain_at_50ms,33.72651120177437,32.43316951153442,35.040761723912695,0,1,0
