ID,effect,median,lower,upper,p_lt_0,p_gt_0,p_in_rope,question
AQ,gain_at_50ms,10.34700357234942,7.934637224180354,12.857421571956397,0,1,0,1. redundancy advantage
HC,gain_at_50ms,4.644344354810866,2.21365802752395,7.104939812259281,2.5e-4,0.99975,0.09425,1. redundancy advantage
YILIU,gain_at_50ms,6.188079775404477,4.016347658735605,8.33015701115545,0,1,0.002625,1. redundancy advantage
AQ,NR: 350ms - 50ms,-4.523738360197354,-7.399773057295116,-1.731799320525126,0.999,0.001,0.140375,2. duration change by cue
HC,NR: 350ms - 50ms,-2.7079289673470983,-5.339918149778613,-0.07945524740362554,0.97775,0.02225,0.584625,2. duration change by cue
YILIU,NR: 350ms - 50ms,-0.19740895984034612,-2.636705652580134,2.287127142545739,0.561,0.439,0.9825,2. duration change by cue
AQ,NR: linear_trend,-21.78096952975275,-32.536534115709415,-11.052476554769033,1,0,5e-4,2. duration change by cue
HC,NR: linear_trend,-15.902851096814363,-25.872659464469134,-6.0902501747753774,0.999375,6.25e-4,0.00475,2. duration change by cue
YILIU,NR: linear_trend,-6.419926039509373,-15.560566611657656,2.677791777849281,0.922125,0.077875,0.20675,2. duration change by cue
AQ,R: 350ms - 50ms,-1.3729971587596994,-3.1262246885706704,0.33576670624997296,0.94475,0.05525,0.965125,2. duration change by cue
HC,R: 350ms - 50ms,-0.8785482902705972,-2.967489689412273,1.2447468616274293,0.798,0.202,0.975875,2. duration change by cue
YILIU,R: 350ms - 50ms,-0.4859602758118986,-1.7972575414734968,0.7566076467939531,0.7825,0.2175,0.999875,2. duration change by cue
AQ,R: linear_trend,-7.02022328998023,-13.742482379985614,-0.694435340192429,0.9845,0.0155,0.104,2. duration change by cue
HC,R: linear_trend,-2.9181528093005165,-10.685397496397274,4.613051853075441,0.778,0.222,0.443625,2. duration change by cue
YILIU,R: linear_trend,-2.778728647913091,-7.412574868984586,1.850294336408544,0.887625,0.112375,0.531875,2. duration change by cue
AQ,catchup_average,3.1580227515775547,-0.050489070831836895,6.448822218463946,0.027125,0.972875,0.463125,3. NR catch-up vs R
HC,catchup_average,1.8339367220303595,-1.5106766144563026,5.194507811443098,0.136125,0.863875,0.754625,3. NR catch-up vs R
YILIU,catchup_average,-0.3024107335442787,-3.039294319444004,2.4152396548764097,0.586875,0.413125,0.96575,3. NR catch-up vs R
AQ,catchup_early,1.8462373278459019,-3.7291224502457676,7.391975454915061,0.255875,0.744125,0.60575,3. NR catch-up vs R
HC,catchup_early,3.2219922071032556,-2.280041011263758,8.81826196275609,0.12675,0.87325,0.457375,3. NR catch-up vs R
YILIU,catchup_early,-0.3745039703000592,-5.978102692596745,4.789413635517046,0.55975,0.44025,0.714625,3. NR catch-up vs R
AQ,catchup_late,4.479718788930968,-1.4326041643443321,10.242909834673199,0.069125,0.930875,0.3025,3. NR catch-up vs R
HC,catchup_late,0.39531150739051224,-5.584920834905977,6.441538299100554,0.4505,0.5495,0.67425,3. NR catch-up vs R
YILIU,catchup_late,-0.18082921800981655,-4.293199997674098,3.8953651891486127,0.53525,0.46475,0.8475,3. NR catch-up vs R
AQ,catchup_late_minus_early,2.5251223424803184,-6.611022067277622,12.125398134296164,0.29325,0.70675,0.4195,3. NR catch-up vs R
HC,catchup_late_minus_early,-2.77878997421265,-12.124483052842033,6.532399216418644,0.716625,0.283375,0.403625,3. NR catch-up vs R
YILIU,catchup_late_minus_early,0.22668551526111358,-7.478045087242699,8.50368275875572,0.4785,0.5215,0.54575,3. NR catch-up vs R
AQ,NR: duration_effect_late_minus_early,-4.985582896728485,-13.013163326927515,2.894525822142836,0.887125,0.112875,0.291625,4. practice change of duration slope
HC,NR: duration_effect_late_minus_early,5.783443360362311,-1.6017645626978894,13.214931986817756,0.068125,0.931875,0.224,4. practice change of duration slope
YILIU,NR: duration_effect_late_minus_early,0.96743381649142,-6.479475136798924,7.854815089850162,0.39425,0.60575,0.56625,4. practice change of duration slope
AQ,R: duration_effect_late_minus_early,-2.385882591833912,-7.456736833849597,2.6091765451397775,0.8245,0.1755,0.569625,4. practice change of duration slope
HC,R: duration_effect_late_minus_early,2.9931323288611313,-2.9051266397320905,8.940576700278456,0.1595,0.8405,0.477625,4. practice change of duration slope
YILIU,R: duration_effect_late_minus_early,1.1477741312747805,-2.1526536274025916,4.455669461533611,0.249375,0.750625,0.848125,4. practice change of duration slope
